university,program,faculty,url,degree,language,city,latitude,longitude
UVT,Asistență socială,Asistenta Sociala,https://admitere.uvt.ro/program/asistenta-sociala/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Planificare teritorială,Planificare Teritoriala,https://admitere.uvt.ro/program/planificare-teritoriala/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Design ambiental,Design Ambiental,https://admitere.uvt.ro/program/design-ambiental/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Administrație publică,Administratie Publica,https://admitere.uvt.ro/program/administratie-publica/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Matematică,Matematica,https://admitere.uvt.ro/program/matematica/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Psihologie - Științe cognitive (în limba engleză),Psihologie Stiinte Cognitive In Limba Engleza,https://admitere.uvt.ro/program/psihologie-stiinte-cognitive-in-limba-engleza/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Comunicare și relații publice,Comunicare Si Relatii Publice,https://admitere.uvt.ro/program/comunicare-si-relatii-publice/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Inteligență artificială (în limba engleză),Inteligenta Artificiala In Limba Engleza,https://admitere.uvt.ro/program/inteligenta-artificiala-in-limba-engleza/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Finanțe și bănci (învățământ la distanță),Finante Si Banci Invatamant La Distanta,https://admitere.uvt.ro/program/finante-si-banci-invatamant-la-distanta/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Marketing,Marketing,https://admitere.uvt.ro/program/marketing/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Jurnalism,Jurnalism,https://admitere.uvt.ro/program/jurnalism/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Design pentru jocuri digitale – Artă și efecte vizuale,Design Pentru Jocuri Digitale Arta Si Efecte Vizuale,https://admitere.uvt.ro/program/design-pentru-jocuri-digitale-arta-si-efecte-vizuale/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Design de obiect și creație digitală,Design De Obiect Si Creatie Digitala,https://admitere.uvt.ro/program/design-de-obiect-si-creatie-digitala/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,"Economia comerțului, turismului și serviciilor",Economia Comertului Turismului Si Serviciilor,https://admitere.uvt.ro/program/economia-comertului-turismului-si-serviciilor/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Publicitate,Publicitate 2,https://admitere.uvt.ro/program/publicitate-2/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Design grafic,Design Grafic,https://admitere.uvt.ro/program/design-grafic/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Chimie medicală,Chimie Medicala,https://admitere.uvt.ro/program/chimie-medicala/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Arte plastice (fotografie - videoprocesare computerizată a imaginii),Arte Plastice Fotografie Videoprocesare Computerizata A Imaginii,https://admitere.uvt.ro/program/arte-plastice-fotografie-videoprocesare-computerizata-a-imaginii/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Finanțe și bănci,Finante Si Banci,https://admitere.uvt.ro/program/finante-si-banci/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Limba și literatura română – Limba și literatura modernă (rusă/sârbă/japoneză),Limba Si Literatura Romana Limba Si Literatura Moderna Rusa Sarba Japoneza,https://admitere.uvt.ro/program/limba-si-literatura-romana-limba-si-literatura-moderna-rusa-sarba-japoneza/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Chimie,Chimie,https://admitere.uvt.ro/program/chimie/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Management,Management,https://admitere.uvt.ro/program/management/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Resurse umane,Resurse Umane,https://admitere.uvt.ro/program/resurse-umane/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Drept european și internațional (bilingv română-engleză),Drept European Si International Bilingv Romana Engleza,https://admitere.uvt.ro/program/drept-european-si-international-bilingv-romana-engleza/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Contabilitate și informatică de gestiune (în limba germană),Contabilitate Si Informatica De Gestiune In Limba Germana,https://admitere.uvt.ro/program/contabilitate-si-informatica-de-gestiune-in-limba-germana/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Contabilitate și informatică de gestiune (învățământ la distanță),Contabilitate Si Informatica De Gestiune Invatamant La Distanta,https://admitere.uvt.ro/program/contabilitate-si-informatica-de-gestiune-invatamant-la-distanta/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Interdisciplinar Geografie - Limba și literatura engleză,Interdisciplinar Geografie Limba Si Literatura Engleza,https://admitere.uvt.ro/program/interdisciplinar-geografie-limba-si-literatura-engleza/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Științe politice,Stiinte Politice,https://admitere.uvt.ro/program/stiinte-politice/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Artele spectacolului (actorie) (în limba germană),Artele Spectacolului Actorie In Limba Germana,https://admitere.uvt.ro/program/artele-spectacolului-actorie-in-limba-germana/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Economie generală și comunicare economică,Economie Generala Si Comunicare Economica,https://admitere.uvt.ro/program/economie-generala-si-comunicare-economica/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Educație fizică și sportivă,Educatie Fizica Si Sportiva,https://admitere.uvt.ro/program/educatie-fizica-si-sportiva/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Istorie,Istorie,https://admitere.uvt.ro/program/istorie/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Artele spectacolului (actorie),Artele Spectacolului Actorie,https://admitere.uvt.ro/program/artele-spectacolului-actorie/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Pedagogia învățământului primar și preșcolar,Pedagogia Invatamantului Primar Si Prescolar,https://admitere.uvt.ro/program/pedagogia-invatamantului-primar-si-prescolar/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Finanțe și bănci (în limba engleză),Finante Si Banci In Limba Engleza,https://admitere.uvt.ro/program/finante-si-banci-in-limba-engleza/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Limbi moderne aplicate (engleză; franceză; germană; spaniolă; rusă),Limbi Moderne Aplicate Engleza Franceza Germana Spaniola Rusa,https://admitere.uvt.ro/program/limbi-moderne-aplicate-engleza-franceza-germana-spaniola-rusa/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Limba și literatura engleză – Limba și literatura modernă (franceză/germană/italiană/spaniolă)/Limba și literatura latină/Limba și literatura română,Limba Si Literatura Engleza Limba Si Literatura Moderna Franceza Germana Italiana Spaniola Limba Si Literatura Latina Limba Si Literatura Romana,https://admitere.uvt.ro/program/limba-si-literatura-engleza-limba-si-literatura-moderna-franceza-germana-italiana-spaniola-limba-si-literatura-latina-limba-si-literatura-romana/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Sport și performanță motrică,Sport Si Performanta Motrica,https://admitere.uvt.ro/program/sport-si-performanta-motrica/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Limba și literatura română – Limba și literatura modernă (engleză/franceză/germană/ italiană/spaniolă)/ Limba și literatura latină,Limba Si Literatura Romana Limba Si Literatura Moderna Engleza Franceza Germana Italiana Spaniola Limba Si Literatura Latina,https://admitere.uvt.ro/program/limba-si-literatura-romana-limba-si-literatura-moderna-engleza-franceza-germana-italiana-spaniola-limba-si-literatura-latina/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Geografia turismului,Geografia Turismului 2,https://admitere.uvt.ro/program/geografia-turismului-2/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Psihologie,Psihologie,https://admitere.uvt.ro/program/psihologie/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Arte decorative,Arte Decorative,https://admitere.uvt.ro/program/arte-decorative/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Informatică (în limba engleză),Informatica In Limba Engleza,https://admitere.uvt.ro/program/informatica-in-limba-engleza/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Fizică medicală,Fizica Medicala,https://admitere.uvt.ro/program/fizica-medicala/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Interpretare muzicală - canto,Interpretare Muzicala Canto,https://admitere.uvt.ro/program/interpretare-muzicala-canto/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Matematică informatică,Matematica Informatica,https://admitere.uvt.ro/program/matematica-informatica/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Filologie clasică (Limba și literatura latină - Limba și literatura greacă veche),Filologie Clasica Limba Si Literatura Latina Limba Si Literatura Greaca Veche,https://admitere.uvt.ro/program/filologie-clasica-limba-si-literatura-latina-limba-si-literatura-greaca-veche/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Limba și literatura rusă – Limba și literatura modernă (engleză/ franceză/ germană/italiană/spaniolă)/Limba și literatura latină/Limba și literatura română,Limba Si Literatura Rusa Limba Si Literatura Moderna Engleza Franceza Germana Italiana Spaniola Limba Si Literatura Latina Limba Si Literatura Romana,https://admitere.uvt.ro/program/limba-si-literatura-rusa-limba-si-literatura-moderna-engleza-franceza-germana-italiana-spaniola-limba-si-literatura-latina-limba-si-literatura-romana/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Kinetoterapie și motricitate specială,Kinetoterapie Si Motricitate Speciala,https://admitere.uvt.ro/program/kinetoterapie-si-motricitate-speciala/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Media digitală,Media Digitala,https://admitere.uvt.ro/program/media-digitala/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Fizică informatică,Fizica Informatica,https://admitere.uvt.ro/program/fizica-informatica/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Teologie ortodoxă pastorală,Teologie Ortodoxa Pastorala,https://admitere.uvt.ro/program/teologie-ortodoxa-pastorala/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Conservare și restaurare,Conservare Si Restaurare,https://admitere.uvt.ro/program/conservare-si-restaurare/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Geoinformatică,Geoinformatica,https://admitere.uvt.ro/program/geoinformatica/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Limba și literatura germană – Limba și literatura modernă (engleză/franceză/italiană/spaniolă)/Limba și literatura latină/Limba și literatura română,Limba Si Literatura Germana Limba Si Literatura Moderna Engleza Franceza Italiana Spaniola Limba Si Literatura Latina Limba Si Literatura Romana,https://admitere.uvt.ro/program/limba-si-literatura-germana-limba-si-literatura-moderna-engleza-franceza-italiana-spaniola-limba-si-literatura-latina-limba-si-literatura-romana/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Pedagogie,Pedagogie,https://admitere.uvt.ro/program/pedagogie/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Psihopedagogie specială,Psihopedagogie Speciala,https://admitere.uvt.ro/program/psihopedagogie-speciala/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Muzică,Muzica,https://admitere.uvt.ro/program/muzica/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Chimie-Biologie,Chimie Biologie,https://admitere.uvt.ro/program/chimie-biologie/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Biochimie,Biochimie,https://admitere.uvt.ro/program/biochimie/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Sociologie,Sociologie,https://admitere.uvt.ro/program/sociologie/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Educație fizică și sportivă (învățământ cu frecvență redusă),Educatie Fizica Si Sportiva Invatamant Cu Frecventa Redusa,https://admitere.uvt.ro/program/educatie-fizica-si-sportiva-invatamant-cu-frecventa-redusa/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Relații internaționale și studii europene,Relatii Internationale Si Studii Europene,https://admitere.uvt.ro/program/relatii-internationale-si-studii-europene/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Asistență socială (învățământ la distanță),Asistenta Sociala Invatamant La Distanta,https://admitere.uvt.ro/program/asistenta-sociala-invatamant-la-distanta/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Drept,Drept,https://admitere.uvt.ro/program/drept/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Limba și literatura sârbă – Limba și literatura modernă (engleză/franceză/germană/italiană/spaniolă)/Limba și literatura latină/Limba și literatura română,Limba Si Literatura Sarba Limba Si Literatura Moderna Engleza Franceza Germana Italiana Spaniola Limba Si Literatura Latina Limba Si Literatura Romana,https://admitere.uvt.ro/program/limba-si-literatura-sarba-limba-si-literatura-moderna-engleza-franceza-germana-italiana-spaniola-limba-si-literatura-latina-limba-si-literatura-romana/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Fizică,Fizica,https://admitere.uvt.ro/program/fizica/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Interpretare muzicală - instrumente,Interpretare Muzicala Instrumente,https://admitere.uvt.ro/program/interpretare-muzicala-instrumente/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Management (învățământ la distanță),Management Invatamant La Distanta,https://admitere.uvt.ro/program/management-invatamant-la-distanta/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Economie și afaceri internaționale,Economie Si Afaceri Internationale,https://admitere.uvt.ro/program/economie-si-afaceri-internationale/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Științe aplicate în criminalistică,Stiinte Aplicate In Criminalistica,https://admitere.uvt.ro/program/stiinte-aplicate-in-criminalistica/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Limba și literatura franceză – Limba și literatura modernă (engleză/germană/italiană/spaniolă)/Limba și literatura latină/Limba și literatura română,Limba Si Literatura Franceza Limba Si Literatura Moderna Engleza Germana Italiana Spaniola Limba Si Literatura Latina Limba Si Literatura Romana,https://admitere.uvt.ro/program/limba-si-literatura-franceza-limba-si-literatura-moderna-engleza-germana-italiana-spaniola-limba-si-literatura-latina-limba-si-literatura-romana/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Arte plastice (Sculptură),Arte Plastice Sculptura,https://admitere.uvt.ro/program/arte-plastice-sculptura/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Informatică economică,Informatica Economica,https://admitere.uvt.ro/program/informatica-economica/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Studii de securitate,Studii De Securitate,https://admitere.uvt.ro/program/studii-de-securitate/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Geografie,Geografie,https://admitere.uvt.ro/program/geografie/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Modă - design vestimentar,Moda Design Vestimentar,https://admitere.uvt.ro/program/moda-design-vestimentar/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Arte plastice (Grafică),Arte Plastice Grafica,https://admitere.uvt.ro/program/arte-plastice-grafica/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Filosofie,Filosofie,https://admitere.uvt.ro/program/filosofie/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Limba și literatura engleză – Limba și literatura modernă (rusă/sârbă/japoneză),Limba Si Literatura Engleza Limba Si Literatura Moderna Rusa Sarba Japoneza,https://admitere.uvt.ro/program/limba-si-literatura-engleza-limba-si-literatura-moderna-rusa-sarba-japoneza/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Management (în limba franceză),Management In Limba Franceza,https://admitere.uvt.ro/program/management-in-limba-franceza/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Informatică (învățământ la distanță),Informatica Invatamant La Distanta,https://admitere.uvt.ro/program/informatica-invatamant-la-distanta/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Informatică,Informatica,https://admitere.uvt.ro/program/informatica/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Fizică - Chimie (Dublă specializare - didactic),Fizica Chimie Dubla Specializare Didactic,https://admitere.uvt.ro/program/fizica-chimie-dubla-specializare-didactic/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Arte plastice (Pictură),Arte Plastice Pictura,https://admitere.uvt.ro/program/arte-plastice-pictura/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Contabilitate și informatică de gestiune,Contabilitate Si Informatica De Gestiune,https://admitere.uvt.ro/program/contabilitate-si-informatica-de-gestiune/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Biologie,Biologie,https://admitere.uvt.ro/program/biologie/,Licenta,Română,Timisoara,45.7477,21.2312
